Iteration;Time;QI-0;QI-1;QI-2;QI-3;QI-4;QI-5;QI-6;QI-7;QI-8;QI-9;QI-10;
2551;2,248;1;2;5;9;7;11;3;6;10;8;4
4080;3,334;1;1;1;2;3;5;1;6;1;4;1
5580;3,695;1;1;1;5;2;4;1;1;1;3;1
7101;4,682;1;1;1;4;2;3;1;1;1;1;1
8601;4,953;1;1;1;2;3;1;1;1;1;4;1
9601;5,105;1;1;1;2;1;1;1;1;1;3;1
10208;5,383;3;5;4;6;2;1;1;1;1;8;7
10723;5,595;1;2;5;3;1;1;1;1;4;7;6
12223;5,971;1;1;1;2;1;1;1;5;3;4;6
13723;6,322;1;1;1;2;1;1;1;1;3;4;5
15246;7,328;1;1;1;3;1;4;1;1;2;5;1
16746;7,834;1;1;1;3;1;4;1;1;1;1;2
18246;8,278;1;1;1;4;1;5;1;1;1;3;2
18824;8,407;1;1;1;5;4;3;6;1;1;7;8
20824;9,811;1;1;5;6;4;7;1;1;1;3;2
22862;12,311;1;1;2;4;1;5;1;7;1;3;6
24891;14,894;1;1;1;4;1;2;1;3;5;6;7
26391;15,452;1;1;1;3;1;1;1;1;2;4;5
27917;17,178;1;1;1;2;1;1;1;1;1;4;3
28917;17,414;1;1;1;1;1;1;1;1;1;2;3
29232;17,91;2;3;1;4;1;1;1;1;1;5;6
29543;18,317;3;2;1;4;1;1;1;1;1;5;6
31043;19,138;1;1;1;2;1;1;1;3;1;5;4
32543;19,982;1;1;1;3;1;1;1;4;2;5;6
