Iteration;Time;TD-0;TD-1;TD-2;TD-3;TD-4;TD-5;TD-6;TD-7;TD-8;TD-9;TD-10;
2551;2,248;5;5;5;0;0;0;5;0;0;0;5
4080;3,334;4;4;4;0;0;0;4;0;5;0;4
5580;3,695;3;3;3;0;0;0;3;5;4;0;3
7101;4,682;2;2;2;0;0;0;2;4;3;0;2
8601;4,953;1;1;1;0;0;5;1;3;2;0;1
9601;5,105;0;0;0;0;0;4;0;2;1;0;0
10208;5,383;0;0;0;0;5;3;6;1;0;0;0
10723;5,595;5;5;0;0;4;2;5;0;0;0;0
12223;5,971;4;4;5;0;3;1;4;0;0;0;0
13723;6,322;3;3;4;0;2;0;3;5;0;0;0
15246;7,328;2;2;3;0;1;0;2;4;5;0;0
16746;7,834;1;1;2;0;0;0;1;3;4;0;0
18246;8,278;0;0;1;0;0;0;0;2;3;0;0
18824;8,407;6;6;0;0;0;0;0;1;2;0;0
20824;9,811;5;5;0;0;0;0;5;0;1;0;0
22862;12,312;4;4;0;0;5;0;4;0;0;0;0
24891;14,894;3;3;5;0;4;0;3;5;0;0;0
26391;15,452;2;2;4;0;3;0;2;4;5;0;0
27917;17,178;1;1;3;0;2;5;1;3;4;0;0
28917;17,414;0;0;2;0;1;4;0;2;3;0;0
29232;17,91;0;0;1;0;0;3;6;1;2;0;0
29543;18,317;5;5;0;0;6;2;5;0;1;0;0
31043;19,138;4;4;0;0;5;1;4;0;0;0;0
32543;19,982;3;3;5;0;4;0;3;5;0;0;0
